id,location,name,specification,type_name,location_code,inventory_status_code,work_order_name,work_order_item_number,account_code,height,clli_code,st_uom_cd,st_pl_cl_cd,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_sap_stk_id,st_rte_id,st_bond_to_neut_cd,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id,st_envmt_cd
STRUCTURE_REG16/212435,0101000000BCEDFD9E1C2A5AC028613C76DC3A4940,POL:PPOLE:C220502,,POWER,LOC_C6221441,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/212441,0101000000348380FBC82A5AC08846BB9A543A4940,POL:PPOLE:C223524,,POWER,LOC_C6224414,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/212934,0101000000288B3484522A5AC0B09592B0323B4940,POL:PPOLE:C220698,,POWER,LOC_C6221638,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/215325,0101000000C4A1C5ECA12A5AC0A0A1F9B5183B4940,POL:PPOLE:C200502,,POWER,LOC_C6201695,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/215459,0101000000B83E6C1CA32A5AC06040A5A0543A4940,POL:CPOLE:C221078,,COMPANY,LOC_C6222010,IPL,,0,SPST_APOLES,9.114,REGNSK,m,5,,REGNSK04,SASKTEL,,20240530(plets1): ,100875,,,,,,,AE
STRUCTURE_REG16/215498,010100000068B2D2E6D0285AC068E8185D0C3A4940,POL:CPOLE:C265398,,COMPANY,LOC_C6265711,IPL,,0,SPST_APOLES,9.114,REGNSK,m,5,,REGNSK01,SASKTEL,,20240530(plets1): Pole is removed ,100875,,,,,,,AE
STRUCTURE_REG16/218579,0101000000D0E2E261E7285AC068F2DB175D3A4940,POL:PPOLE:C199750,,POWER,LOC_C6200970,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/218585,0101000000DC1AD371E7285AC0882AC1248D3A4940,POL:PPOLE:C199716,,POWER,LOC_C6200938,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/218586,01010000009CD18ECFCF285AC0185BF7B2943A4940,POL:PPOLE:C201110,,POWER,LOC_C6202300,IPL,,0,,,REGNSK,m,,,REGNSK01,SASKPOWER,,,,,,,,,,AE
STRUCTURE_REG16/218816,0101000000C4ED954E6B2A5AC0109FDA044B3C4940,POL:PPOLE:C203365,,POWER,LOC_C6204523,IPL,,0,,,REGNSK,m,,,REGNSK04,SASKPOWER,,,,,,,,,,AE
