id,location,name,type_name,inventory_status_code,work_order_name,account_code,clli_code,st_clli_cd,st_co_id,st_ownr_co_nm,st_vntge_yr,st_rmks,st_trmnl_id,st_pc_qty,st_sap_actvy_cd,st_sap_ntwk_id
Structure1_WGS84/18259,010100000040523C156D275AC0D0EDB85D3F3F4940,TOWER:FIXED::12510304,Fixed,IPL,,,REGNSK,REGOSKQJ,REGNSK04,SaskTel,2022,,,,,
Structure1_WGS84/18578,0101000000E8F49A563E255AC020CD8ADB3A344940,TOWER:FIXED::12510305,Fixed,IPL,,,REGNSK,REGNSK62,REGNSK71,SaskTel,2012,,,,,
Structure1_WGS84/20343,0101000000E87748CEF5275AC0D0A8E345A73A4940,TOWER:FIXED::6777434,Fixed,IPL,,,REGNSK,REGOSKNU,REGNSK01,SaskTel,2013,23m 2024,,,0010,969211
Structure1_WGS84/21182,01010000007C3CD5D06F265AC0B077C145C6344940,TOWER:FIXED::12331082,Fixed,IPL,,,REGNSK,REGOSKQK,REGNSK03,SaskTel,2023,43.75M,,,0000,818416
Structure1_WGS84/21902,0101000000842E5CE193E259C0102E31C4E1664940,TOWER:FIXED::12518286,Fixed,IPL,,,BLCRSK,BLCRSK01,BLCRSK01,SaskTel,2008,,,,,
Structure1_WGS84/22109,0101000000B8233634327A5BC0F805CFB29E534940,TOWER:FIXED::12518283,Fixed,IPL,,,BRSTSK,BRSTSK02,BRSTSK02,SaskTel,1968,,,,,
Structure1_WGS84/32881,01010000004CBDF70256295AC040D827C27E3B4940,TOWER:PTBL::10759323,Fixed,IPL,,LACC_ATRENCH_F,REGNSK,REGOSKVW,REGNSK04,SaskTel,2020,,,,0000,808246
Structure1_WGS84/34187,0101000000E41B2FAFAC2C5AC0B014478DA53D4940,TOWER:FIXED::6735560,Fixed,IPL,,,REGNSK,,REGNSK04,SaskTel,2013,,,,0010,968727
Structure1_WGS84/34188,0101000000A8BDAE7DA62C5AC00001E709A73D4940,TOWER:FIXED::6735561,Fixed,IPL,,,REGNSK,,REGNSK04,SaskTel,2013,,,,0010,968727
Structure1_WGS84/40448,0101000000B84553820D215AC0D0996A897C954940,TOWER:FIXED::12348368,Fixed,IPL,,,RYMRSK,SRTHSK01,RYMRSK01,SaskTel,1977,,,,,
Structure1_WGS84/40449,0101000000A482941CD36B5AC02084463EDC774940,TOWER:FIXED::12349326,Fixed,IPL,,,CRAKSK,AYBYSK02,AYBYSK02,SaskTel,2003,,,,,
Structure1_WGS84/40451,0101000000E07EA1F6842A5AC018D771C9DF354940,TOWER:FIXED::12349665,Fixed,IPL,,,REGNSK,REGOSKDV,REGNSK03,SaskTel,2011,,,,,
Structure1_WGS84/40901,0101000000E03993EAC6265AC028053885E1394940,TOWER:FIXED::11530442,Fixed,IPL,,,REGNSK,,REGNSK01,SaskTel,2012,,,,,
Structure1_WGS84/40903,010100000020CD8A6EFE265AC0F8C923B5D93C4940,TOWER:FIXED::11530445,Fixed,IPL,,,REGNSK,REGOSKNQ,REGNSK04,SaskTel,,,,,,
Structure1_WGS84/42190,010100000070D4889B5EF259C0981E330E3D244940,TOWER:FIXED::12379746,Fixed,IPL,,,ODSSSK,ODSSSK01,ODSSSK01,SaskTel,2019,,,,,
Structure1_WGS84/42191,010100000058C9DBD2E90E5BC008F585E13A444940,TOWER:FIXED::12379741,Fixed,IPL,,,PNNTSK,PNNTSK01,PNNTSK01,SaskTel,2019,,,,,
Structure1_WGS84/42566,0101000000BC918758F9DD59C0D8EB93FF702D4940,TOWER:FIXED::12371443,Fixed,IPL,,,SNTLSK,ASRSSK01,ASRSSK01,SaskTel,2011,,,,,
Structure1_WGS84/42571,0101000000E82F7050CDDA59C08882983F775F4940,TOWER:FIXED::12402451,Fixed,IPL,,,ABRNSK,ABRNSK01,ABRNSK01,SaskTel,2019,,,,,
Structure1_WGS84/43206,010100000028CB1FF207335AC0D0AD45B5CFA24940,TOWER:FIXED::12441806,Fixed,IPL,,,SMNSSK,GOVNSK03,SMNSSK01,SaskTel,2020,,,,,
Structure1_WGS84/43340,010100000040F2EFAF15A559C0E09BD3BD32304940,TOWER:FIXED::12399575,Fixed,IPL,,,BRVWSK,BRVWSK01,BRVWSK01,SaskTel,2002,,,,,
Structure1_WGS84/44123,0101000000D827660E803F5AC008F12D8BCDA74940,TOWER:FIXED::12495884,Fixed,IPL,,,GOVNSK,GOVNSK01,GOVNSK01,SaskTel,2019,,,,,
Structure1_WGS84/44691,01010000009CA14A909BFF59C0F012D55B83514940,TOWER:FIXED::12352526,Fixed,IPL,,,QAPLSK,EDGLSK04,EDGLSK04,SaskTel,2000,,,,,
Structure1_WGS84/45079,010100000048A888EF9EEE5AC06864A9C5459F4840,TOWER:FIXED::12363083,Fixed,IPL,,,VLMRSK,VLMRSK01,VLMRSK01,SaskTel,2019,,,,,
Structure1_WGS84/46142,0101000000BC248BB712ED59C0305256B0A6604940,TOWER:FIXED::12367248,Fixed,IPL,,,FTQPSK,LEBTSK01,FTQPSK01,SaskTel,2013,,,,,
Structure1_WGS84/46187,0101000000A46D897DBE215AC0B071E28A4FB44940,TOWER:FIXED::12375263,Fixed,IPL,,,RYMRSK,RYMRSK01,RYMRSK01,SaskTel,1996,,,,,
Structure1_WGS84/47014,010100000098A5A454D08159C0B0B21BC220F44840,TOWER:FIXED::12399604,Fixed,IPL,,,WAWTSK,WAWTSK01,WAWTSK01,SaskTel,1979,,,,,
Structure1_WGS84/47070,0101000000208D1156F1DD59C038F9536E98674940,TOWER:TOWER:C171422,Fixed,IPL,,,BLCRSK,BLCRSK02,BLCRSK01,SASKTEL,,,,,,
Structure1_WGS84/47071,0101000000ACABFFFC69045AC03092524AF4404940,TOWER:TOWER:C151720,Fixed,IPL,,,QAPLSK,,MCLNSK03,SASKTEL,,,,,,
Structure1_WGS84/47072,01010000003043C27B97125AC0E8DF522E0A274940,TOWER:TOWER:C167729,Fixed,IPL,,,REGNSK,,REGNSK01,SASKTEL,,CELL SITE,,,,
Structure1_WGS84/47073,0101000000340BB9F4BD215AC050C4984A78394940,TOWER:TOWER:C225516,Fixed,IPL,,,,REGOSKKV,REGNSK46,SASKTEL,,,,,,
Structure1_WGS84/47074,0101000000FCAC6946D5235AC0409DD348A53D4940,TOWER:TOWER:D7167770,Fixed,IPL,,,REGNSK,,REGNSK12,SASKTEL,,,,,,
Structure1_WGS84/47075,01010000003017952D022C5AC0389AA5CF54404940,TOWER:TOWER:C254522,Fixed,IPL,,,REGNSK,,REGNSK04,SASKTEL,,,,,,
Structure1_WGS84/47076,01010000009016408EEC285AC0F02B84DF8A3F4940,TOWER:TOWER:C318183,Fixed,IPL,,,REGNSK,REGOSKKJ,REGNSK04,SASKTEL,,,,,,
