id,name,in_structure,out_structure
ug_route/159272,OSP:BUSP::12736013,st_struct_pedestal/66909,st_struct_pedestal/66817
ug_route/159273,OSP:BUSP::12736010,st_struct_pedestal/66884,st_struct_pedestal/67005
ug_route/159274,OSP:BUSP::12736589,st_struct_pedestal/66979,st_struct_pedestal/66962
ug_route/159275,OSP:BUSP::13342670,st_struct_pedestal/66833,mywcom_route_junction/20845
ug_route/159276,OSP:FBSP:C263473,st_struct_pedestal/66942,st_struct_pedestal/66818
ug_route/159277,OSP:BUSP::12734024,st_struct_pedestal/66905,st_struct_pedestal/66828
ug_route/159278,OSP:BUSP::12358359,mywcom_route_junction/20835,st_struct_pedestal/66819
ug_route/159279,OSP:BUSP::12358430,mywcom_route_junction/20868,st_struct_pedestal/66959
ug_route/159280,OSP:BUSP:C263805,st_struct_pedestal/66833,mywcom_route_junction/20836
ug_route/159281,OSP:BUSP::12358369,mywcom_route_junction/20837,st_struct_pedestal/66992
ug_route/159282,OSP:BUSP:C251907,st_struct_pedestal/66986,st_struct_pedestal/66865
ug_route/159283,OSP:BUSP::8937732,mywcom_route_junction/20853,st_struct_pedestal/66997
ug_route/159284,OSP:BUSP::12733686,st_struct_pedestal/66942,st_struct_pedestal/66818
ug_route/159285,OSP:BUSP::12730806,mywcom_route_junction/20864,mywcom_route_junction/20865
ug_route/159286,OSP:BUSP::12730605,mywcom_route_junction/20820,mywcom_route_junction/20870
ug_route/159287,OSP:BUSP:C256744,mywcom_route_junction/20833,st_struct_pedestal/67014
ug_route/159288,OSP:BUSP::12811188,st_struct_pedestal/66952,st_struct_pedestal/66968
ug_route/159289,OSP:FBSP:C253961,st_struct_pedestal/66959,mywcom_route_junction/20867
ug_route/159290,OSP:FBSP:C262652,st_struct_pedestal/66940,st_struct_pedestal/66999
ug_route/159291,OSP:FBSP:C259065,st_struct_pedestal/66829,mywcom_route_junction/20805
ug_route/159292,OSP:BUSP::12358059,mywcom_route_junction/20810,st_struct_pedestal/66971
ug_route/159293,OSP:FORSP::7266372,st_struct_vault/2408,mywcom_route_junction/20815
ug_route/159294,OSP:FBSP:C258800,st_struct_pedestal/66888,mywcom_route_junction/20874
ug_route/159295,OSP:BUSP:C262837,mywcom_route_junction/20799,mywcom_route_junction/20846
ug_route/159296,OSP:BUSP::12358352,st_struct_pedestal/66986,st_struct_pedestal/66865
ug_route/159297,OSP:BUSP::12730596,st_struct_pedestal/66985,mywcom_route_junction/20862
