id,name,in_structure,out_structure
oh_route/93664,OSP:MESS:C648478,pole/54375,pole/54036
oh_route/93665,OSP:MESS:C642233,pole/53420,pole/53754
oh_route/93666,OSP:MESS:C655161,pole/53359,pole/53502
oh_route/93667,OSP:MESS:C666412,pole/53797,pole/53447
oh_route/93668,OSP:MESS:C650063,pole/52294,pole/54419
oh_route/93669,OSP:MESS::8091656,pole/52293,pole/54269
oh_route/93670,OSP:MESS:C640257,pole/52416,pole/54463
oh_route/93671,OSP:MESS:C656223,pole/52914,pole/54180
oh_route/93672,OSP:MESS::8097098,pole/52916,pole/52826
oh_route/93673,OSP:MESS:C652559,pole/53840,pole/53873
oh_route/93674,OSP:MESS::8097095,pole/52863,pole/53102
oh_route/93675,OSP:MESS:C658385,pole/52314,pole/53896
oh_route/93676,OSP:MESS::8118924,pole/53667,pole/52614
oh_route/93677,OSP:MESS::8097750,pole/52694,pole/53356
oh_route/93678,OSP:MESS:C641636,pole/52848,pole/52630
oh_route/93679,OSP:MESS::8097106,pole/52248,pole/52523
oh_route/93680,OSP:MESS:C639884,pole/53180,pole/54217
oh_route/93681,OSP:MESS::8097752,pole/53218,pole/52250
oh_route/93682,OSP:MESS:C636995,pole/52525,building/66260
oh_route/93683,OSP:MESS::8091014,pole/53932,pole/53284
oh_route/93684,OSP:MESS:C656038,pole/53846,pole/53944
oh_route/93685,OSP:MESS:C640264,pole/53635,pole/53480
oh_route/93686,OSP:MESS:C647176,pole/52550,pole/53208
oh_route/93687,OSP:MESS:C652554,pole/53176,pole/53638
oh_route/93688,OSP:MESS:C652590,pole/54111,pole/52774
oh_route/93689,OSP:MESS:C652522,pole/53242,pole/52514
oh_route/93690,OSP:MESS::8097107,pole/52497,pole/53073
oh_route/93691,OSP:MESS::8088780,pole/54285,pole/52622
oh_route/93692,OSP:MESS:C645590,pole/52418,pole/54006
oh_route/93693,OSP:MESS:C637167,pole/53158,pole/54326
oh_route/93694,OSP:MESS:C642231,pole/52648,pole/53420
oh_route/93695,OSP:MESS::8088783,pole/53627,pole/52576
oh_route/93696,OSP:MESS:C637288,pole/54281,pole/52856
oh_route/93697,OSP:MESS:C637156,pole/53333,pole/52595
oh_route/93698,OSP:MESS::15062965,pole/52884,pole/52686
oh_route/93699,OSP:MESS:C650050,pole/52603,pole/54384
oh_route/93700,OSP:MESS::8079820,pole/52433,pole/52952
oh_route/93701,OSP:MESS:C636852,pole/53018,pole/53486
oh_route/93702,OSP:MESS:C640270,pole/52693,pole/53112
oh_route/93703,OSP:MESS:C637363,pole/53917,pole/52530
oh_route/93704,OSP:MESS:C644565,pole/52851,pole/53310
oh_route/93705,OSP:MESS:C646465,pole/52924,pole/53668
oh_route/93706,OSP:MESS:C651244,pole/53334,pole/53680
oh_route/93707,OSP:MESS:C646365,pole/52742,pole/53184
oh_route/93708,OSP:MESS:C651971,pole/54571,pole/54144
oh_route/93709,OSP:MESS:C710052,pole/54382,building/67641
oh_route/93710,OSP:MESS::8092612,pole/52499,pole/53994
oh_route/93711,OSP:MESS:C640895,pole/52913,pole/53749
oh_route/93712,OSP:MESS:C648134,pole/52859,pole/53565
oh_route/93713,OSP:MESS:C653757,pole/52725,pole/53008
oh_route/93714,OSP:MESS:C641142,pole/53338,pole/52344
oh_route/93715,OSP:MESS:C644852,pole/54501,pole/54502
oh_route/93716,OSP:MESS:C647877,pole/54415,pole/53620
