id,path,in_structure,out_structure,name,specification,type_name,inventory_status_code,work_order_name,st_std_desc,measured_length,st_ownr_co_nm,st_eas_rmks,st_co_id,st_rmks,st_vntge_yr,sap_pm_order,create_user,created_at,update_user,updated_at
oh_route/720325,01020000000200000070B0A3162FF25AC0E811DEB6A025494054CDB35F25F25AC00837BB50A1254940,pole/52303,pole/53339,OSP:MESS:C646376,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/462976,010200000003000000300EDA1D65EA5AC04872D0FDD354494018B9EFCA6EEA5AC0D09257ECD1544940341CADA273EA5AC07803AFDDD0544940,pole/53975,pole/53279,OSP:MESS:C642271,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/192575,0102000000020000005867589924EF5AC0684E5717FA0D494008B4189524EF5AC058FEC19CED0D4940,pole/52573,pole/52258,OSP:MESS:C657634,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,WYMRSK02,,,,,,CHENR1,2022-05-02T05:39:49
oh_route/864608,010200000002000000203F8C57B3F25AC0A8676FCDB6244940A03B5864B3F25AC0E84DFA52AA244940,pole/53722,pole/53322,OSP:MESS:C647301,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,Height captured on 20/07/10 17:00 by PoffB1,,,,,,
oh_route/259433,01020000000200000058E07949A6F25AC098742D5788264940ECC6C796A1F25AC0D800C3647D264940,pole/52973,pole/53716,OSP:MESS:C666444,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/626980,010200000002000000DC61D17CC7EA5AC078797ADF97544940BCEBAB2CC3EA5AC0B82772A28C544940,pole/53748,pole/53663,OSP:MESS:C642332,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/281547,01020000000200000028186C5518F35AC058A09049782549407CE2EE1622F35AC060B9BADD77254940,pole/52645,pole/54372,OSP:MESS:C641801,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,SWCRSK02,,,,,,,
oh_route/230894,010200000002000000C402B5D186EA5AC0A8D3AE9ACB544940582088C68FEA5AC0E0BC5B6DC6544940,pole/52412,pole/52343,OSP:MESS:C642279,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/816303,010200000002000000E0300A156BEA5AC0E0DA14F2B5544940E86690CC74EA5AC0D0464BDEB3544940,pole/54156,pole/54013,OSP:MESS:C642365,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:31
oh_route/785340,010200000002000000A0EE99ABBAEA5AC0187B430FAC544940246E3B8BC3EA5AC088FA799AA6544940,pole/52420,pole/53752,OSP:MESS:C642321,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
oh_route/637734,010200000002000000685CA9AE36EA5AC050AE191BA5544940843D01D53EEA5AC0083A7228AC544940,pole/53423,pole/53610,OSP:MESS:C642346,MESSENGER,MESSENGER,IPL,,Aerial Copper,0.0,SASKTEL,,BVFLSK01,,,,,,CHENR1,2021-12-17T06:20:30
