id,name,in_structure,out_structure
ug_route/165512,OSP:BUSP:C666340,st_struct_pedestal/70083,st_struct_pedestal/68216
ug_route/165513,OSP:BUSP::8446857,st_struct_pedestal/68482,st_struct_pedestal/70248
ug_route/165514,OSP:FBSP:C644417,mywcom_route_junction/21185,st_struct_pedestal/69974
ug_route/165515,OSP:BUSP:C647265,st_struct_pedestal/69941,building/48849
ug_route/165516,OSP:BUSP:C660961,st_struct_pedestal/67671,building/49693
ug_route/165517,OSP:BUSP:C654503,st_struct_pedestal/69437,building/51133
ug_route/165518,OSP:BUSP:C655593,st_struct_pedestal/70396,st_struct_pedestal/67745
ug_route/165519,OSP:BUSP:C659806,st_struct_pedestal/69146,st_struct_pedestal/68266
ug_route/165520,OSP:BUSP::11085974,st_struct_pedestal/70783,st_struct_pedestal/70618
ug_route/165521,OSP:BUSP::9466472,pole/41112,mywcom_route_junction/21514
ug_route/165522,OSP:FORSP::16947460,st_struct_vault/2471,st_struct_vault/2472
ug_route/165523,OSP:BUSP:C708119,st_struct_pedestal/69135,st_struct_pedestal/69312
ug_route/165524,OSP:BUSP:C650347,st_struct_pedestal/69577,building/51364
ug_route/165525,OSP:BUSP:C652985,pole/42221,st_struct_pedestal/67465
ug_route/165526,OSP:FBSP:C660401,st_struct_buried_splice_location/2697,building/49746
ug_route/165527,OSP:BUSP:C644247,st_struct_pedestal/69925,building/51071
ug_route/165528,OSP:FBSP:C658535,st_struct_buried_splice_location/2682,building/51275
ug_route/165529,OSP:BUSP:C653171,st_struct_pedestal/67338,building/49413
ug_route/165530,OSP:BUSP:C658816,st_struct_pedestal/68622,building/49611
ug_route/165531,OSP:BUSP:C647218,st_struct_pedestal/68450,st_struct_pedestal/68142
ug_route/165532,OSP:BUSP::14561524,st_struct_pedestal/67248,st_struct_pedestal/68673
ug_route/165533,OSP:BUSP:C665786,mywcom_route_junction/21173,mywcom_route_junction/21899
ug_route/165534,OSP:FBSP::14573684,st_struct_pedestal/68916,pole/41155
ug_route/165535,OSP:BUSP:C647164,st_struct_pedestal/67428,st_struct_pedestal/70747
ug_route/165536,OSP:FBSP:C653544,pole/40843,building/49088
ug_route/165537,OSP:BUSP:C705973,st_struct_pedestal/69258,building/51187
ug_route/165538,OSP:FBSP::11682166,st_struct_pedestal/67138,building/48786
ug_route/165539,OSP:BUSP::15996733,st_struct_pedestal/70668,st_struct_pedestal/67838
ug_route/165540,OSP:BUSP:C659284,st_struct_pedestal/67876,st_struct_pedestal/67914
ug_route/165541,OSP:BUSP::12405684,st_struct_pedestal/69706,st_struct_pedestal/68604
ug_route/165542,OSP:BUSP:C654547,st_struct_pedestal/68989,st_struct_pedestal/69602
ug_route/165543,OSP:BUSP:C670404,st_struct_pedestal/69360,building/49289
ug_route/165544,OSP:BUSP:C705966,st_struct_pedestal/69365,st_struct_buried_splice_location/2670
ug_route/165545,OSP:BUSP:C659822,st_struct_pedestal/70795,st_struct_pedestal/68504
ug_route/165546,OSP:BUSP:C657533,st_struct_pedestal/67862,st_struct_pedestal/70478
ug_route/165547,OSP:BUSP:C707862,st_struct_pedestal/68971,mywcom_route_junction/21113
ug_route/165548,OSP:FBSP::8435657,st_struct_pedestal/69333,mywcom_route_junction/21553
ug_route/165549,OSP:BUSP:C660114,st_struct_pedestal/69121,mywcom_route_junction/21018
ug_route/165550,OSP:BUSP::8364613,st_struct_pedestal/67901,st_struct_pedestal/68968
